
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-03-12


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 7.0
Magnitude Max:, 9.0
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, 20.0
D9-95 Max (sec):, 60.0
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
3.2,0.06255242,0.12744979,0.03070076,0.05672727,0.03155414,0.04687414,0.05883986,0.01852669,0.0208504,0.03875412,0.0215006,0.18500804,0.18387826,0.18085041,0.15352344,0.13088018,0.15987738,0.16978406,0.11678198,0.18832357,0.1862247,0.14375408,0.1088883,0.10858166,0.07980829,0.04093627,0.06490991,0.04184131,0.05118709,0.10607773,0.05753133,0.01441115,0.06742101,0.05620229,0.03733854,0.01698249,0.03841244,0.0672706,0.04850367,0.05389999,0.07466861,0.02007731,0.05764082,0.01915263,0.08949962,0.00856371,0.03729215,0.0331707,0.01241083,0.06817229,0.06397709,0.05793424,0.11608713,0.04995017,0.0503436,0.01894921,0.01934978,0.02489593,0.04755476,0.04434071,0.03924567,0.07035731,0.0712736,0.01350538,0.06530929,0.05113662,0.08024992,0.06467722,0.06246988,0.05909148,0.0604627,0.06940576,0.03984106,0.00843726,0.01448377,0.0876343,0.05074355,0.06501207,0.01949639,0.0461623,0.02060759,0.03244985,0.02337948,0.0546003,0.03028705,0.04793072,0.08317461,0.05344612,0.01588758,0.11763038,0.04972241,0.02633609,0.04368962,0.03186647,0.1147529,0.06623242,0.02350259,0.03598539,0.07405861,0.03405753,0.12133345,0.03445454,0.01411211
3.4,0.05664899,0.11305002,0.02838662,0.05304965,0.02953812,0.0412445,0.05140762,0.01722061,0.02111297,0.03438117,0.02254079,0.16442094,0.1641411,0.16269922,0.12890213,0.11930413,0.1463734,0.14362536,0.09327801,0.15300752,0.1566595,0.13137651,0.09329044,0.09601575,0.08297934,0.04797601,0.06014474,0.0448036,0.04413031,0.10652463,0.04380076,0.01572171,0.06162208,0.05765643,0.03071416,0.01329602,0.03742416,0.06108933,0.05108969,0.04578018,0.07178372,0.02171782,0.05096284,0.02162246,0.08142814,0.00745518,0.03350559,0.025706,0.01033454,0.06413928,0.05875317,0.04876037,0.11749783,0.04954153,0.04752875,0.02021105,0.01834583,0.0230515,0.03757044,0.04416983,0.03551795,0.05339244,0.05020874,0.01198318,0.05370946,0.04239834,0.06933447,0.06458334,0.04899984,0.06794313,0.05568895,0.05173232,0.03522468,0.00743291,0.01379313,0.08914788,0.04981428,0.05720823,0.01776178,0.04778796,0.0180721,0.02980175,0.02078015,0.05476892,0.02909312,0.05467602,0.06828559,0.04749743,0.01684456,0.12087064,0.04906421,0.02366785,0.03795721,0.02469488,0.10072576,0.05449739,0.02274376,0.03583397,0.06247044,0.03065452,0.11194851,0.03102979,0.0128289
3.5,0.05492599,0.10840916,0.0278285,0.0523763,0.03027057,0.03953388,0.04865836,0.01695051,0.02137083,0.03299225,0.02193958,0.1581104,0.15660651,0.15660959,0.12512226,0.1160001,0.14839687,0.13144624,0.08913645,0.13596786,0.14003023,0.12973402,0.08530444,0.08861828,0.08343714,0.04980563,0.0583677,0.04697557,0.04032119,0.10736312,0.04282852,0.01643585,0.05708384,0.06283837,0.02949334,0.01178282,0.03534754,0.06479939,0.05273161,0.04643984,0.06983107,0.02268585,0.05371219,0.02085253,0.07846521,0.00750997,0.03254576,0.02398512,0.01086847,0.065541,0.05085131,0.04370251,0.10863882,0.04893442,0.04951877,0.0208709,0.01742154,0.02400639,0.0388029,0.04366953,0.0361742,0.05070455,0.04698639,0.01166152,0.04677368,0.04003205,0.06312928,0.06663146,0.04341226,0.06609449,0.06098156,0.04631187,0.03289051,0.0070015,0.01352149,0.09748029,0.05392307,0.05245132,0.01864027,0.04815855,0.01790888,0.02792121,0.01689045,0.0593023,0.02774894,0.05675279,0.06252552,0.04369832,0.01846496,0.12875168,0.04728883,0.02248208,0.03509929,0.02263202,0.09203111,0.05067497,0.02388497,0.03541033,0.05812209,0.03198844,0.10459913,0.0291516,0.01266717
3.6,0.05332866,0.10381972,0.02739312,0.05293883,0.03082805,0.03852624,0.04494443,0.01676353,0.02143355,0.03269379,0.01983817,0.14662948,0.14410501,0.14640895,0.11651363,0.11871955,0.14952703,0.12091866,0.08476895,0.12275093,0.13236226,0.12790426,0.07820706,0.08368737,0.08143276,0.04973844,0.05555501,0.04917279,0.04035699,0.10416569,0.04329992,0.01794772,0.05193189,0.06245638,0.02792985,0.0104404,0.03421979,0.06648173,0.05243824,0.04552139,0.06804193,0.02356401,0.05510138,0.02019286,0.07368171,0.00777618,0.03298319,0.02348955,0.01168283,0.06501601,0.04476937,0.04158584,0.09814895,0.04731058,0.05303783,0.01979815,0.01715642,0.02490808,0.04022415,0.04150805,0.03512705,0.05040957,0.04675311,0.01301298,0.04048281,0.03774751,0.05674942,0.06829119,0.04224407,0.067496,0.06378961,0.04516914,0.0309648,0.00672461,0.01336162,0.10335319,0.0593244,0.0504394,0.01941742,0.04839613,0.020048,0.02670194,0.01385066,0.06144315,0.02688601,0.05503383,0.06146975,0.03957291,0.01903646,0.1383248,0.0449316,0.02136075,0.03271277,0.02331905,0.08476892,0.04856634,0.02437946,0.03471955,0.05489371,0.03290623,0.09388144,0.02862315,0.01264569
3.8,0.05025165,0.09502021,0.0265757,0.05091978,0.02546367,0.03765519,0.0413233,0.01737019,0.02026736,0.03111911,0.01503873,0.12310974,0.12396575,0.11923645,0.10063107,0.12399002,0.14490923,0.10340076,0.07412889,0.10293113,0.11513913,0.11881471,0.06942368,0.07796716,0.06854046,0.04794363,0.05008229,0.04984319,0.04602036,0.09878385,0.04523229,0.0194694,0.04626977,0.05678569,0.02345987,0.00827072,0.03035824,0.06480361,0.0563621,0.04097578,0.06291272,0.02515958,0.05497006,0.01768406,0.06220751,0.00775402,0.03456141,0.02429736,0.01309352,0.0579712,0.03792181,0.03857383,0.09029718,0.0480294,0.05635685,0.01849548,0.02025241,0.02558858,0.04164621,0.03773042,0.03563516,0.05349871,0.05062231,0.014891,0.03535045,0.03730075,0.05451929,0.07445477,0.04065657,0.05973458,0.06896602,0.04300314,0.02875385,0.00690139,0.01178968,0.10370113,0.05794341,0.04808528,0.01814662,0.04867342,0.02331095,0.02860523,0.01286419,0.06367968,0.02497234,0.04663902,0.06769916,0.03150291,0.01776998,0.1446068,0.03887516,0.02003205,0.03007002,0.02651271,0.07695002,0.05031799,0.02154557,0.03284733,0.05510151,0.03384987,0.07702631,0.02956728,0.01268176
4.0,0.04795869,0.08680208,0.02649748,0.04485209,0.02126605,0.03607378,0.04003476,0.01837103,0.02267482,0.03024809,0.0161549,0.10365014,0.10338295,0.09897562,0.08684124,0.11641853,0.13021299,0.09375094,0.0660274,0.08597897,0.09405189,0.10468798,0.06127166,0.07765223,0.06108394,0.0487965,0.05020211,0.04395655,0.05052956,0.08728614,0.04800084,0.01885727,0.04692372,0.05648203,0.02474325,0.0066518,0.02827724,0.07102002,0.06093348,0.03991174,0.05651269,0.02662921,0.05848795,0.02026747,0.05285703,0.00720292,0.03379641,0.03103872,0.01354588,0.04903077,0.03733609,0.03998469,0.08512082,0.05141449,0.05290051,0.02048003,0.02117582,0.03007728,0.0459763,0.0335377,0.03664788,0.0583595,0.05154111,0.01399588,0.03671698,0.03833568,0.06453218,0.06970257,0.04108834,0.05332169,0.06622804,0.03686688,0.02939564,0.00621775,0.01110839,0.10799707,0.06592485,0.0490811,0.01783674,0.04950944,0.02453584,0.02742145,0.01472564,0.06669907,0.02337232,0.04435727,0.07632665,0.02597946,0.01516141,0.14112075,0.03597827,0.02074895,0.02744306,0.02802562,0.07138604,0.04056892,0.01804886,0.0307469,0.05712442,0.03363025,0.06084485,0.0308982,0.01271052
4.2,0.04534676,0.07947412,0.0258742,0.04125503,0.0188446,0.03275248,0.04026409,0.01925297,0.02668261,0.03150582,0.0166084,0.08840595,0.08893442,0.08318081,0.0700949,0.09836393,0.11363093,0.08471504,0.0552632,0.07096411,0.07632518,0.09508058,0.05547805,0.08180412,0.06214505,0.05696762,0.05654985,0.03742414,0.0523039,0.0772482,0.0409854,0.01657633,0.05180309,0.05837506,0.02347985,0.00557807,0.02643938,0.07591234,0.06920206,0.04246881,0.0614913,0.02776049,0.06401049,0.02424119,0.05227875,0.00610937,0.03426875,0.03260484,0.01299268,0.0457687,0.03309211,0.04282617,0.07295557,0.05252761,0.04905409,0.01959339,0.02056778,0.02974909,0.04823516,0.03724667,0.03573739,0.05199029,0.05415913,0.01252817,0.03381084,0.03923858,0.06796896,0.0593126,0.03899637,0.04927667,0.06127313,0.03547289,0.0288403,0.00568681,0.01136806,0.10185816,0.0707199,0.0467151,0.01660472,0.04505878,0.02273214,0.02086888,0.01506256,0.0574028,0.02157541,0.04270557,0.08028682,0.02351278,0.01296487,0.13096217,0.03116598,0.02149807,0.02481616,0.02568094,0.06606994,0.03537549,0.01702351,0.0296116,0.05507799,0.03204668,0.04883198,0.03036616,0.01218045
4.4,0.04226836,0.07312907,0.02443097,0.03587638,0.01720288,0.03209146,0.04509337,0.01986258,0.02797503,0.03372302,0.0159973,0.07514466,0.07523529,0.07296688,0.05705985,0.08416105,0.09217004,0.07401204,0.0470234,0.05853618,0.06568683,0.08292902,0.0492859,0.07766742,0.05832322,0.05893223,0.0588091,0.03341645,0.05353779,0.06436208,0.03631636,0.01565491,0.04687884,0.05943981,0.0199638,0.00460043,0.02811863,0.06987559,0.08020072,0.04080258,0.06358679,0.02942557,0.06718758,0.02660961,0.05229507,0.00509271,0.03622563,0.03297959,0.01111087,0.04649973,0.03298106,0.04234796,0.05916335,0.05752266,0.04525536,0.01632627,0.01652862,0.02726467,0.04948358,0.03634973,0.03671585,0.04043649,0.05779712,0.012271,0.0338092,0.03725822,0.06091436,0.04570318,0.03317772,0.04327615,0.06053506,0.03467239,0.03176349,0.00481245,0.01092486,0.08757967,0.07548815,0.03837759,0.01580841,0.03916943,0.01903094,0.01782471,0.0130457,0.04384769,0.01804108,0.03737329,0.08403421,0.02262493,0.01288336,0.13079006,0.03052175,0.0214602,0.02254644,0.02198129,0.05989809,0.03341305,0.01782603,0.02896524,0.05414749,0.03061273,0.04189025,0.0285652,0.01185153
4.6,0.03908364,0.06787216,0.022506,0.03051246,0.01757199,0.02996103,0.04748321,0.01957698,0.02732593,0.03610446,0.0150611,0.06550688,0.06418,0.06350642,0.04973818,0.07065761,0.07732663,0.0626321,0.03923273,0.04920536,0.05634142,0.06815209,0.04270963,0.07215635,0.05284412,0.05564212,0.05465162,0.02817258,0.05343831,0.05543025,0.0337001,0.01472708,0.04575996,0.05012577,0.01660555,0.00374481,0.02861527,0.05894694,0.08707952,0.03481679,0.06249506,0.02790356,0.06504613,0.02697979,0.0483559,0.00408674,0.03501984,0.02864563,0.01019662,0.0461256,0.03432741,0.03876948,0.05335326,0.04813425,0.03595101,0.01443993,0.01338249,0.02351231,0.05555594,0.03412772,0.0359189,0.03682369,0.0542808,0.01301595,0.03126292,0.04165571,0.05478138,0.03965984,0.02722827,0.03907823,0.05726442,0.03110696,0.03239677,0.00426055,0.00967382,0.0894939,0.07485472,0.02848639,0.01524289,0.03788788,0.01737386,0.02008082,0.01065611,0.04181542,0.01527287,0.03233793,0.08858395,0.02337074,0.01267296,0.1248977,0.03040313,0.02067874,0.02066386,0.0200015,0.05386024,0.0301414,0.01824682,0.02750718,0.05565376,0.02922816,0.03739212,0.02657327,0.01092542
4.8,0.03605896,0.06262471,0.02076255,0.02677609,0.01406113,0.02671725,0.04705395,0.01948382,0.02386689,0.03406318,0.01436639,0.05550558,0.0543019,0.05407465,0.04492362,0.05667073,0.06387433,0.05272639,0.03403099,0.04184737,0.04813196,0.05662019,0.03830211,0.06973239,0.04393594,0.04890081,0.0471911,0.02404161,0.05081131,0.0548898,0.02954054,0.01384868,0.04919542,0.03915857,0.01482044,0.00316794,0.02703009,0.04782424,0.08370662,0.03127163,0.05911181,0.02396639,0.06026068,0.02625833,0.04346582,0.00332514,0.03038559,0.03159434,0.0108587,0.03957234,0.03606742,0.03608961,0.05301404,0.03724374,0.02875145,0.01260824,0.01077033,0.01977643,0.05911138,0.03135105,0.03668559,0.03300596,0.04482561,0.0143925,0.03125506,0.04655144,0.05014125,0.03889933,0.0243338,0.03372321,0.05670231,0.02481067,0.03168658,0.00354212,0.0094887,0.08279367,0.06603919,0.02661431,0.01573291,0.041792,0.01805396,0.02127298,0.01000057,0.03697378,0.01452425,0.03436582,0.08739349,0.02475065,0.01313664,0.12228195,0.03338314,0.01940866,0.01989576,0.02028409,0.04920214,0.02400142,0.01971039,0.02647747,0.0589752,0.02765849,0.03546439,0.02497673,0.01063957
5.0,0.0336875,0.05826439,0.01947755,0.02370435,0.01077847,0.02288694,0.04599663,0.01907441,0.01936054,0.03073073,0.01535305,0.04862725,0.04715218,0.04905505,0.0406637,0.04857859,0.05526716,0.04807334,0.03082943,0.0370414,0.04080256,0.04875464,0.03549039,0.06277438,0.0339935,0.04055742,0.04014315,0.02199619,0.04575902,0.05640784,0.02524285,0.01307708,0.05041822,0.0335733,0.01546909,0.00268502,0.02619073,0.03724107,0.07617949,0.02895666,0.05383743,0.01962846,0.05375401,0.0250744,0.03788449,0.00288084,0.02557724,0.0347283,0.01222859,0.03627184,0.03883456,0.03733807,0.05167825,0.03023775,0.02653456,0.01200717,0.00932824,0.01837037,0.05985335,0.0279106,0.03930629,0.02928647,0.038414,0.01536671,0.03220664,0.04562394,0.04455025,0.04382363,0.0230712,0.02869007,0.0616163,0.02163774,0.03125486,0.00270983,0.01055689,0.07113297,0.05457885,0.02464549,0.01748832,0.04558076,0.01888623,0.02087399,0.0096356,0.03490265,0.01482244,0.03891685,0.0805368,0.02610665,0.0127278,0.11909784,0.03670588,0.01785628,0.01919579,0.02101387,0.05136882,0.0215561,0.02222553,0.02453007,0.06155011,0.02625863,0.03166852,0.02417356,0.00975444
5.5,0.02906541,0.0510815,0.01653824,0.0205313,0.00844465,0.01382175,0.04117489,0.01672241,0.0141662,0.02222622,0.01265966,0.03994552,0.03921231,0.04039146,0.03286467,0.03090636,0.0358971,0.03869934,0.02582315,0.02977011,0.03029327,0.03256868,0.03129004,0.04675815,0.02165789,0.03039731,0.02904301,0.01824811,0.03511919,0.05921491,0.02448392,0.01397199,0.04820954,0.03351403,0.01511616,0.00208823,0.02856674,0.02835005,0.05751746,0.02990649,0.04376642,0.01528679,0.04390331,0.01963177,0.03177329,0.00226238,0.02001131,0.02943331,0.01562812,0.02414062,0.03588537,0.04039999,0.04423592,0.02928247,0.02858801,0.00969016,0.0080846,0.0161149,0.04652641,0.02513861,0.03304738,0.03012062,0.02597072,0.01522965,0.028781,0.04136915,0.02721028,0.04754711,0.02268978,0.02368278,0.06839774,0.02237751,0.02758171,0.00191352,0.01089943,0.05448554,0.03699799,0.02438607,0.02250639,0.043967,0.0174817,0.02064945,0.00855441,0.02851064,0.0164307,0.03062047,0.06504733,0.02426853,0.01101102,0.11984705,0.03946632,0.01408881,0.0185375,0.02173699,0.04855528,0.01873136,0.02636194,0.02416091,0.05754702,0.02384648,0.02314956,0.0219241,0.00749631
6.0,0.02548463,0.04438402,0.01463289,0.01678442,0.00651033,0.010131,0.03428372,0.014881,0.01137585,0.0213099,0.00991586,0.0333846,0.03270031,0.03412032,0.02700487,0.02578429,0.02892688,0.0311463,0.02270054,0.02459133,0.02595217,0.02752,0.02354549,0.0336161,0.01665729,0.02834392,0.02262176,0.01534982,0.03248269,0.05699063,0.02192534,0.01795588,0.04238841,0.03086168,0.01426106,0.00164742,0.03155225,0.02952363,0.03603983,0.02890264,0.03981947,0.01852178,0.04319977,0.01590801,0.02432334,0.00191467,0.01491636,0.02547272,0.01326744,0.01816182,0.02985573,0.03301783,0.04163144,0.02825798,0.02734226,0.00894617,0.00624723,0.01628896,0.03623022,0.02752281,0.03108556,0.03022184,0.02536096,0.01728684,0.02634607,0.03199255,0.02340379,0.04133549,0.02010822,0.0218342,0.06112873,0.01910303,0.01984749,0.00149633,0.00894312,0.03951961,0.03301048,0.0226664,0.02121994,0.04101624,0.01719198,0.02044236,0.00877222,0.01852219,0.01799865,0.0284645,0.04775453,0.02214794,0.00937609,0.10446138,0.03931063,0.0117103,0.01725855,0.01949909,0.04664948,0.01536971,0.02744657,0.02447608,0.05590661,0.02193644,0.01697294,0.0193298,0.00600274
6.5,0.02241049,0.03909132,0.01284761,0.01415396,0.00573786,0.00812054,0.0281439,0.01296417,0.01166265,0.01959672,0.00883644,0.02772545,0.02662425,0.02877451,0.0220614,0.02225457,0.0242367,0.02442766,0.02006517,0.02118174,0.02227715,0.02305397,0.0178192,0.0243315,0.01653331,0.02680433,0.01593765,0.01613685,0.03001233,0.05255039,0.02221341,0.02129111,0.03116767,0.02538348,0.01468809,0.00133115,0.03721024,0.0285612,0.02996326,0.02005505,0.02919712,0.02061088,0.04357324,0.01173459,0.01644196,0.00148622,0.01551514,0.01491654,0.00980662,0.01263212,0.02325157,0.02872149,0.0287128,0.0290723,0.02402534,0.0110531,0.00470299,0.01330523,0.02403509,0.02590295,0.03319661,0.03237244,0.02545366,0.02038403,0.02434484,0.02175433,0.02478686,0.0356668,0.01450515,0.01910448,0.05867901,0.01394385,0.01419949,0.00096843,0.0067375,0.02638334,0.03179175,0.0200074,0.01837156,0.04470289,0.01870641,0.02476986,0.00997181,0.0149369,0.01579439,0.0237146,0.03554738,0.01763695,0.00835965,0.0860884,0.03839724,0.01028532,0.01602471,0.01778862,0.0447469,0.01573604,0.02727014,0.02489899,0.0521909,0.02159007,0.01399587,0.01775434,0.004903
7.0,0.02033856,0.0358071,0.01155238,0.01229298,0.00481078,0.00634596,0.02788456,0.0113014,0.01081695,0.01723959,0.00750873,0.02253632,0.02111828,0.02368909,0.01834465,0.0194926,0.02187372,0.01960875,0.01755238,0.01826897,0.01944522,0.01929119,0.01473613,0.02358938,0.01826152,0.02642403,0.01056815,0.01728443,0.02918338,0.04771327,0.02232544,0.02183786,0.02414471,0.0217302,0.01563186,0.00107271,0.03835912,0.02671806,0.0294616,0.0172453,0.02789283,0.02125263,0.03820828,0.0083457,0.01570529,0.00124045,0.01782122,0.01188573,0.00633829,0.01269884,0.01950661,0.02992942,0.02139689,0.03249994,0.02291149,0.01168266,0.00335164,0.01267994,0.02341111,0.02251817,0.03005356,0.03303617,0.02393885,0.02085251,0.01883678,0.0186918,0.02446619,0.02671328,0.01359003,0.01480077,0.05574527,0.01072679,0.01218986,0.00079423,0.00523511,0.01885794,0.03058767,0.0213939,0.01358753,0.04481265,0.02087819,0.0243911,0.01032858,0.01203668,0.01384747,0.01586652,0.03137343,0.01246693,0.00680205,0.07122054,0.03757358,0.00983867,0.01430995,0.0163485,0.04152283,0.01634472,0.02655627,0.02383876,0.04831875,0.02072535,0.01145266,0.0171589,0.0047587
7.5,0.01915469,0.03372168,0.0108803,0.00981151,0.00387835,0.0051431,0.02402966,0.0098324,0.00812449,0.01471059,0.00696813,0.01799064,0.01819033,0.01893415,0.01714664,0.02010205,0.02233878,0.01987953,0.01686641,0.01680026,0.01721041,0.01956963,0.01235184,0.02206872,0.01718211,0.02662035,0.00938404,0.01812124,0.02832162,0.04224043,0.02317666,0.01968501,0.02063958,0.0197173,0.01518176,0.00088708,0.03391776,0.02866854,0.02748962,0.01419985,0.03059838,0.02077529,0.03404746,0.00646175,0.01491244,0.00112685,0.01921719,0.0113039,0.00459107,0.01310207,0.02016251,0.0334715,0.02156912,0.03461707,0.02534033,0.01232817,0.00279648,0.01512221,0.02677867,0.02590229,0.02450335,0.03304454,0.02711116,0.01982794,0.01704548,0.01882346,0.02543925,0.01611724,0.01300067,0.01254753,0.0491362,0.01023079,0.01053768,0.0006468,0.00438429,0.01528933,0.03021421,0.02128616,0.00923922,0.0432939,0.02235571,0.02455257,0.01089597,0.01055687,0.01243336,0.01442598,0.03220849,0.0097897,0.00515244,0.06026667,0.03428145,0.01004885,0.0130404,0.01434997,0.04053138,0.01551829,0.02545839,0.02307937,0.04437797,0.01878306,0.00929212,0.01583069,0.0049144
8.0,0.01822281,0.03241885,0.01024313,0.00788221,0.00309385,0.00458089,0.0183404,0.00889805,0.0072441,0.01138898,0.00505195,0.01740852,0.01828502,0.01702821,0.01709736,0.0203558,0.02092579,0.01923413,0.01546596,0.01585537,0.01580816,0.02001386,0.01049172,0.02071777,0.01650921,0.02591382,0.00811697,0.01816363,0.02617758,0.03866621,0.02660382,0.01774628,0.01761858,0.01959311,0.01505438,0.00081309,0.02792005,0.0303342,0.02598413,0.01296846,0.03355386,0.01887609,0.03074555,0.0053634,0.01391842,0.00096648,0.01842726,0.01351563,0.00398319,0.01413921,0.02190669,0.03441933,0.02235044,0.03744214,0.02882874,0.01304195,0.00207442,0.01809462,0.02903604,0.03118443,0.02404987,0.03671792,0.03022607,0.01780971,0.01776892,0.01778768,0.02655905,0.01236699,0.01073746,0.01111772,0.04204469,0.0094907,0.00916386,0.0005411,0.00333377,0.0127418,0.02878005,0.02300587,0.00634191,0.03915831,0.02130981,0.02478298,0.01048277,0.00891178,0.01038402,0.01116792,0.03147055,0.00931617,0.00389627,0.05407802,0.03007235,0.00992998,0.01245321,0.01270606,0.03484354,0.01418353,0.02324573,0.02104474,0.03964491,0.01626316,0.00825115,0.01373227,0.00514675
8.5,0.01737597,0.03159439,0.00955627,0.00635679,0.00277205,0.00404051,0.01841632,0.00777863,0.00686239,0.01018796,0.00419812,0.01699206,0.01759858,0.01697921,0.01590845,0.01951507,0.01830241,0.01734499,0.01337185,0.01524965,0.01492697,0.01927155,0.00901661,0.01984882,0.01662766,0.02387231,0.0072193,0.01646021,0.02333942,0.03447619,0.02831689,0.01645776,0.01587518,0.02133097,0.01519728,0.00072678,0.02492636,0.03072752,0.02522044,0.01208084,0.0368866,0.0170206,0.02814195,0.0043367,0.013823,0.0008225,0.01728408,0.01511798,0.00338509,0.01452073,0.01734443,0.03551328,0.02044874,0.03894359,0.03102924,0.01373663,0.00178028,0.01927254,0.02894216,0.03509945,0.02583796,0.04041719,0.03421249,0.01507799,0.01914402,0.01695664,0.02941791,0.0117754,0.00951508,0.00967276,0.03595102,0.00889904,0.00975916,0.00047409,0.00295982,0.01083277,0.02661051,0.02502046,0.00507204,0.03542164,0.01843513,0.02392353,0.00938921,0.00723055,0.00746559,0.0092724,0.03020928,0.00848188,0.00334818,0.04971136,0.02618205,0.00950556,0.01193695,0.01086928,0.02961927,0.01433017,0.02086688,0.01987724,0.03454079,0.01373137,0.00762814,0.0114401,0.00533068
9.0,0.01642609,0.03086963,0.00874051,0.00544135,0.00252031,0.00354905,0.01904721,0.00722064,0.00628443,0.00844281,0.00364833,0.01583487,0.01596361,0.01617251,0.0140042,0.01827749,0.01527205,0.01458383,0.01093828,0.01370608,0.01337543,0.01765141,0.00782942,0.01936759,0.01775469,0.02173108,0.00674024,0.01493533,0.02180175,0.03010499,0.02872842,0.01551215,0.01700905,0.02250274,0.01416278,0.00063999,0.02304241,0.03429674,0.02402398,0.01047461,0.0398466,0.01518201,0.0257595,0.00358592,0.01478789,0.00072784,0.01525875,0.01527844,0.0026351,0.01412744,0.01375979,0.03726877,0.01781997,0.03892872,0.03026367,0.0133004,0.00168762,0.01926282,0.02843901,0.03577494,0.02644874,0.04331217,0.03629238,0.01238363,0.01988737,0.01557412,0.03222823,0.01011207,0.00903312,0.00772075,0.0316423,0.00700149,0.01007052,0.00040269,0.00240263,0.00916777,0.02492676,0.02689731,0.00452958,0.0302861,0.016254,0.02312496,0.00797896,0.0067365,0.0055362,0.0083401,0.03002975,0.00837229,0.00312369,0.04391618,0.02278163,0.00901637,0.01147075,0.00971234,0.02420391,0.01517946,0.01893282,0.01798416,0.02937607,0.01196889,0.00722189,0.00941656,0.00532424
9.5,0.01533366,0.02970513,0.00791517,0.00492309,0.00243352,0.0031174,0.0158368,0.00711045,0.00572477,0.00745287,0.00323979,0.01378438,0.01363653,0.01428301,0.01192789,0.01586038,0.0124117,0.013137,0.00977526,0.01157469,0.01283356,0.01544771,0.00686148,0.01854393,0.01871705,0.02015547,0.0056075,0.01376634,0.02068431,0.02614287,0.02869436,0.01470602,0.01872743,0.02353526,0.01230867,0.00058282,0.020605,0.0360598,0.02152282,0.00930202,0.04122348,0.01450613,0.0233442,0.00302504,0.01677657,0.00065467,0.0137261,0.01417134,0.0021939,0.01354822,0.0111342,0.0366371,0.01565575,0.03946086,0.02850685,0.01224242,0.00147332,0.01868923,0.02744636,0.03429345,0.02512211,0.04268556,0.03637797,0.01081221,0.01975635,0.01411247,0.03407581,0.00855145,0.00753807,0.00607155,0.02701629,0.00658582,0.01035806,0.00034538,0.00216505,0.00777235,0.02360429,0.02746286,0.00399957,0.0257002,0.01466843,0.02342147,0.00664963,0.00693393,0.00428506,0.00720893,0.02901185,0.00806312,0.00285493,0.03757138,0.0204186,0.00869155,0.01135324,0.00813491,0.01992506,0.0147255,0.01694563,0.01633598,0.02491133,0.0106322,0.00692572,0.00837795,0.00546288
10.0,0.01400326,0.02769174,0.00708122,0.00439404,0.00208743,0.00274552,0.01215476,0.00625555,0.00529918,0.00641295,0.00302662,0.01218622,0.01179009,0.01265388,0.01126079,0.01336299,0.01000046,0.0121186,0.00949387,0.00997275,0.01201889,0.01299892,0.00606272,0.0175788,0.0188574,0.01820418,0.00455942,0.0122719,0.01841824,0.02315228,0.02764787,0.01378569,0.01892388,0.02404826,0.0119511,0.0005178,0.01728943,0.03522005,0.01833718,0.00852433,0.04014484,0.01344736,0.02084676,0.00253071,0.01734141,0.00058278,0.01163907,0.01192281,0.00203199,0.01380172,0.00913538,0.03550222,0.01294305,0.03750006,0.02651565,0.01124512,0.00142814,0.01778186,0.02431985,0.03192267,0.02193522,0.03882374,0.03589207,0.00927635,0.01863722,0.01320386,0.03317877,0.00744334,0.00581513,0.0050103,0.02272475,0.00618429,0.0096474,0.00031147,0.00182081,0.00666058,0.02131892,0.02687535,0.00344377,0.02218059,0.01305962,0.02292647,0.00557394,0.00718085,0.00346073,0.00627227,0.02503641,0.00794209,0.00247403,0.03139804,0.01835163,0.00872249,0.01128302,0.00661139,0.01623245,0.01349781,0.01535282,0.0149219,0.02194873,0.00935117,0.00709465,0.00733569,0.00574679
