
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2024-03-12


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 7.0
Magnitude Max:, 9.0
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, 20.0
D9-95 Max (sec):, 60.0
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
12, SRSS, 576, -, 1.0, -, 11.1, 21.9, 0.8, "Taiwan SMART1(45)", 1986, "SMART1 M07", 7.3, Reverse, 55.11, 55.11, 327.61, 0.1, 1.0, RSN576_SMART1.45_45M07EW.AT2, RSN576_SMART1.45_45M07NS.AT2 , RSN576_SMART1.45_45M07DN.AT2  
13, SRSS, 577, -, 1.0, -, 10.2, 25.1, 0.7, "Taiwan SMART1(45)", 1986, "SMART1 O01", 7.3, Reverse, 57.9, 57.9, 267.67, 0.1, 1.0, RSN577_SMART1.45_45O01EW.AT2, RSN577_SMART1.45_45O01NS.AT2 , RSN577_SMART1.45_45O01DN.AT2  
14, SRSS, 578, -, 1.0, -, 11.4, 20.9, 1.4, "Taiwan SMART1(45)", 1986, "SMART1 O02", 7.3, Reverse, 57.13, 57.13, 285.09, 0.125, 1.0, RSN578_SMART1.45_45O02EW.AT2, RSN578_SMART1.45_45O02NS.AT2 , RSN578_SMART1.45_45O02DN.AT2  
15, SRSS, 579, -, 1.0, -, 10.1, 21.9, 0.7, "Taiwan SMART1(45)", 1986, "SMART1 O04", 7.3, Reverse, 55.18, 55.18, 288.24, 0.1, 1.0, RSN579_SMART1.45_45O04EW.AT2, RSN579_SMART1.45_45O04NS.AT2 , RSN579_SMART1.45_45O04DN.AT2  
16, SRSS, 581, -, 1.0, -, 10.5, 20.8, 0.6, "Taiwan SMART1(45)", 1986, "SMART1 O07", 7.3, Reverse, 54.17, 54.17, 314.33, 0.125, 1.0, RSN581_SMART1.45_45O07EW.AT2, RSN581_SMART1.45_45O07NS.AT2 , RSN581_SMART1.45_45O07DN.AT2  
17, SRSS, 582, -, 1.0, -, 13.4, 34.2, 0.8, "Taiwan SMART1(45)", 1986, "SMART1 O08", 7.3, Reverse, 54.8, 54.8, 357.43, 0.1, 1.0, RSN582_SMART1.45_45O08EW.AT2, RSN582_SMART1.45_45O08NS.AT2 , RSN582_SMART1.45_45O08DN.AT2  
18, SRSS, 583, -, 1.0, -, 11.2, 23.3, 0.5, "Taiwan SMART1(45)", 1986, "SMART1 O10", 7.3, Reverse, 56.94, 56.94, 320.11, 0.1, 1.0, RSN583_SMART1.45_45O10EW.AT2, RSN583_SMART1.45_45O10NS.AT2 , RSN583_SMART1.45_45O10DN.AT2  
19, SRSS, 584, -, 1.0, -, 11.8, 24.3, 0.6, "Taiwan SMART1(45)", 1986, "SMART1 O12", 7.3, Reverse, 58.0, 58.0, 303.36, 0.1, 1.0, RSN584_SMART1.45_45O12EW.AT2, RSN584_SMART1.45_45O12NS.AT2 , RSN584_SMART1.45_45O12DN.AT2  
20, SRSS, 826, -, 1.0, -, 8.0, 20.6, 0.3, "Cape Mendocino", 1992, "Eureka - Myrtle & West", 7.01, Reverse, 40.23, 41.97, 337.46, 0.16, 1.0, RSN826_CAPEMEND_EUR000.AT2, RSN826_CAPEMEND_EUR090.AT2 , RSN826_CAPEMEND_EUR-UP.AT2  
21, SRSS, 832, -, 1.0, -, 17.2, 28.5, 0.8, "Landers", 1992, "Amboy", 7.28, strike slip, 69.21, 69.21, 382.93, 0.1, 1.0, RSN832_LANDERS_ABY000.AT2, RSN832_LANDERS_ABY090.AT2 , RSN832_LANDERS_ABY-UP.AT2  
